id,id_guia,id_agencia
657,2602,657
658,624,658
659,473,659
660,890,660
661,1705,661
662,2170,662
663,688,663
664,554,664
665,111,665
666,1974,666
667,2104,667
668,2601,668
669,372,669
670,2037,670
671,2228,671
672,577,672
673,939,673
674,2599,674
675,2686,675
676,319,676
677,2367,677
678,2521,678
679,1769,679
680,1367,680
681,2169,681
682,2101,682
683,662,683
684,943,684
685,450,685
686,1757,686
687,471,687
688,424,688
689,649,689
690,1849,690
691,28,691
692,328,692
693,541,693
694,2678,694
695,21677,695
696,2681,696
697,1958,697
698,2680,698
699,2684,699
700,2679,700
701,1676,701
702,2441,702
703,2683,703
704,2685,704
705,952,705
706,1227,706
707,1902,707
708,738,708
709,506,709
710,565,710
711,1361,711
712,1524,712
713,1358,713
714,1362,714
715,1034,715
716,1863,716
717,1874,717
718,2604,718
719,1037,719
720,2227,720
721,1502,721
722,1501,722
723,2191,723
724,1277,724
725,2181,725
726,2361,726
727,1869,727
728,461,728
729,1189,729
730,195,730
731,1353,731
732,202,732
733,192,733
734,362,734
735,1400,735
736,199,736
737,2050,737
738,2062,738
739,1404,739
740,2429,740
741,2427,741
742,2428,742
743,2417,743
744,432,744
745,1407,745
746,2060,746
747,796,747
748,1352,748
749,120,749
750,941,750
751,79,751
752,935,752
753,2153,753
754,755,754
755,27,755
756,456,756
757,581,757
758,682,758
759,2122,759
760,981,760
761,639,761
762,1857,762
763,1429,763
764,1310,764
765,517,765
766,958,766
767,919,767
768,1559,768
769,108,769
770,2117,770
771,1835,771
772,340,772
773,32,773
774,1709,774
775,1267,775
776,536,776
777,1648,777
778,1976,778
779,1207,779
780,1211,780
781,561,781
782,1472,782
783,1755,783
784,1018,784
785,101,785
786,162,786
787,1208,787
788,1233,788
789,1445,789
790,1424,790
791,1204,791
792,1469,792
793,369,793
794,845,794
795,1297,795
796,1816,796
797,547,797
798,628,798
799,1228,799
800,2421,800
801,1817,801
802,1444,802
803,1938,803
804,1354,804
805,1988,805
806,171,806
807,453,807
808,2597,808
809,1269,809
810,1822,810
811,1290,811
812,2221,812
813,1526,813
814,1073,814
815,633,815
816,1908,816
817,18,817
818,100,818
819,1072,819
820,1862,820
821,134,821
822,940,822
823,1698,823
824,15,824
825,1649,825
826,1485,826
827,1209,827
828,1425,828
829,370,829
830,423,830
831,352,831
832,942,832
833,1326,833
834,2282,834
835,2607,835
836,2580,836
837,2462,837
838,2002,838
839,1351,839
840,2605,840
841,1797,841
842,2606,842
843,2093,843
844,705,844
845,701,845
846,709,846
847,1365,847
848,2089,848
849,2088,849
850,2412,850
851,2416,851
852,2433,852
853,2504,853
854,2436,854
855,1085,855
856,2438,856
857,2030,857
858,2011,858
859,2506,859
860,2430,860
861,2555,861
862,1088,862
863,1585,863
864,2053,864
865,2014,865
866,2031,866
867,2149,867
868,1076,868
869,1081,869
870,2432,870
871,1784,871
872,2012,872
873,1786,873
874,1077,874
875,1792,875
876,2437,876
877,2505,877
878,1280,878
879,1080,879
880,1086,880
881,2426,881
882,2435,882
883,2431,883
884,2442,884
885,2434,885
886,1666,886
887,1785,887
888,2439,888
889,2563,889
890,2562,890
891,2564,891
892,2401,892
893,2087,893
894,2398,894
895,2399,895
896,1194,896
897,2400,897
898,2396,898
899,10011,899
900,2397,900
901,2529,901
902,2410,902
903,2406,903
904,2408,904
905,1164,905
906,2377,906
907,2411,907
908,2158,908
909,2402,909
910,2405,910
911,1738,911
912,1814,912
913,2409,913
914,1740,914
915,2413,915
916,2404,916
917,2403,917
918,2407,918
919,2173,919
920,2581,920
921,1922,921
922,1737,922
923,1141,923
924,1827,924
925,1589,925
926,2487,926
927,2488,927
928,2484,928
929,2480,929
930,2471,930
931,2489,931
932,2474,932
933,2485,933
934,2486,934
935,2476,935
936,2477,936
937,2479,937
938,2277,938
939,10000,939
940,1913,940
941,1536,941
942,2470,942
943,2472,943
944,2482,944
945,2481,945
946,2490,946
947,2478,947
948,2473,948
949,2106,949
950,2524,950
951,2522,951
952,2527,952
953,2528,953
954,2526,954
955,2492,955
956,2491,956
957,2475,957
958,10001,958
959,2217,959
960,2595,960
961,2566,961
962,2571,962
963,2574,963
964,2565,964
965,2568,965
966,2578,966
967,2576,967
968,2570,968
969,2569,969
970,2577,970
971,2573,971
972,2575,972
973,2572,973
974,2579,974
975,2567,975
976,2424,976
977,2423,977
978,2520,978
979,2362,979
980,1707,980
981,2534,981
982,2538,982
983,2541,983
984,2535,984
985,2531,985
986,2537,986
987,2533,987
988,2539,988
989,2540,989
990,2536,990
991,2530,991
992,2532,992
993,2363,993
994,1563,994
995,2280,995
996,2279,996
997,1273,997
998,1592,998
999,1672,999
